"occupation_id","source_ref","employer_name","job_title","source_url","source_kind","review_status","notes"
"occ_23_1011_00","law_01","Affirm","Senior Counsel, Ethics & Employment","https://boards.greenhouse.io/embed/job_app?token=7239490003","public_job_posting","reviewed_for_gap_fill","supports_playbooks_investigations_and_practical_guidance"
"occ_23_1011_00","law_02","Epic Games","Senior Product Counsel, Children's Privacy & Design","https://boards.greenhouse.io/embed/job_app?token=5460393004","public_job_posting","reviewed_for_gap_fill","supports_practical_product_guidance_and_escalation_logic"
"occ_23_1011_00","law_03","Fullscript","Senior Counsel, Commercial, Data and Strategic Partnerships","https://jobs.lever.co/fullscript/11637385-5e01-4aec-a0a3-dc4ea2ee4f76","public_job_posting","reviewed_for_gap_fill","supports_data_partnership_and_governance_work"
"occ_23_1011_00","law_04","Instawork","Senior Commercial Counsel","https://boards.greenhouse.io/embed/job_app?gh_src=dd8f22f76us&source=LinkedIn&token=4436009006","public_job_posting","reviewed_for_gap_fill","supports_playbooks_templates_and_commercial_workflows"
"occ_23_1011_00","law_05","Alchemy","Associate General Counsel","https://boards.greenhouse.io/embed/job_app?token=4556627005","public_job_posting","reviewed_for_gap_fill","supports_product_launch_guidance_and_regulatory_translation"
"occ_15_2051_00","ds_01","SpyCloud","Senior Data Scientist","https://boards.greenhouse.io/embed/job_app?token=6651905003","public_job_posting","reviewed_for_gap_fill","supports_new_data_sources_documentation_and_cross_functional_problem_framing"
"occ_15_2051_00","ds_02","Influ2","Data Scientist / Applied ML Engineer","https://jobs.lever.co/influ2/03f0d683-1888-4508-926d-5dce286c111b","public_job_posting","reviewed_for_gap_fill","supports_hypothesis_experiment_and_product_problem_framing"
"occ_15_2051_00","ds_03","Fullscript","Lead Data Scientist","https://jobs.lever.co/fullscript/5ec81b29-153d-4483-a7ba-b4f1d8397512","public_job_posting","reviewed_for_gap_fill","supports_methodological_rigor_repeatable_research_and_scale"
"occ_15_2051_00","ds_04","Samba TV","Senior Data Scientist, Measurement","https://jobs.lever.co/sambatv/c9666321-7b7a-4229-844d-4b72ca7321b1","public_job_posting","reviewed_for_gap_fill","supports_end_to_end_lifecycle_and_operationalization"
"occ_15_2051_00","ds_05","Xero","Sr. Data Scientist (Product Data Science)","https://jobs.lever.co/xero/0df9a23e-59e5-4280-83a9-bc9f3fcf07b9","public_job_posting","reviewed_for_gap_fill","supports_experimentation_and_pipeline_ownership"
"occ_13_1111_00","ma_01","Lumafield","Senior Business Operations Analyst","https://jobs.lever.co/lumafield/6c7fa613-b50d-4faa-9895-0bbe098bde48","public_job_posting","reviewed_for_gap_fill","supports_process_buildout_tools_and_training"
"occ_13_1111_00","ma_02","Shield AI","Lead, Strategy & Operations","https://jobs.lever.co/shieldai/ca460f45-c2f4-4b58-bfd3-dd6a2cfdccf8","public_job_posting","reviewed_for_gap_fill","supports_business_cases_and_cross_company_initiatives"
"occ_13_1111_00","ma_03","Brighte","Business Analyst","https://jobs.lever.co/brighte/973dbce1-6fbc-4049-acc6-92ab5bdacfb4","public_job_posting","reviewed_for_gap_fill","supports_requirements_scoping_workshops_and_prioritization"
"occ_13_1111_00","ma_04","Valence","Strategy & Operations Associate","https://jobs.lever.co/valence/f2422f63-427a-4f20-a147-0bb2b07eaa2a","public_job_posting","reviewed_for_gap_fill","supports_playbooks_adoption_and_real_time_feedback"
"occ_13_1111_00","ma_05","Snappr","Strategy & Operations Lead","https://jobs.lever.co/snappr/38a7b52c-6255-49e4-9884-b3c5e1b8f9b7","public_job_posting","reviewed_for_gap_fill","supports_execution_gaps_and_operating_rhythm"
"occ_27_3042_00","tw_01","Pleo","Senior Tech Writer","https://boards.greenhouse.io/embed/job_app?token=6661087003","public_job_posting","reviewed_for_gap_fill","supports_information_architecture_lifecycle_tracking_and_developer_experience"
